index,Year,Calendar Date (YYYYMMDD),WeekNo,Year_Week,$Price,$ Sales Amount,# Sold Unit,# Inventory Unit
44,2015,20150328,13,2015_13,114.14285714285714,286.4288578574293,3,98
45,2015,20150329,14,2015_14,114.14285714285714,394.7146804289662,5,97
46,2015,20150330,14,2015_14,114.14285714285714,91.28580557151986,1,96
47,2015,20150401,14,2015_14,114.14285714285714,199.71448542877116,2,94
48,2015,20150402,14,2015_14,114.14285714285714,68.4286398572113,1,93
49,2015,20150403,14,2015_14,114.14285714285714,273.8574167145596,3,90
50,2015,20150404,14,2015_14,114.14285714285714,114.14297128582842,1,89
51,2015,20150405,15,2015_15,114.14285714285714,372.000372000372,4,85
52,2015,20150406,15,2015_15,114.14285714285714,171.14302828588544,2,83
53,2015,20150407,15,2015_15,114.14285714285714,68.4286398572113,1,82
54,2015,20150408,15,2015_15,114.14285714285714,91.28580557151986,1,81
55,2015,20150409,15,2015_15,114.14285714285714,108.43582272153701,1,80
56,2015,20150411,15,2015_15,114.14285714285714,114.14297128582842,1,79
57,2015,20150412,16,2015_16,114.14285714285714,85.57151414294272,1,83
58,2015,20150414,16,2015_16,114.14285714285714,228.28594257165685,2,81
59,2015,20150416,16,2015_16,114.14285714285714,228.28594257165685,2,79
60,2015,20150417,16,2015_16,114.14285714285714,228.28594257165685,2,77
61,2015,20150419,17,2015_17,114.14285714285714,114.14297128582842,1,88
62,2015,20150420,17,2015_17,114.14285714285714,85.57151414294272,1,87
63,2015,20150423,17,2015_17,114.14285714285714,456.5718851433137,4,83
64,2015,20150424,17,2015_17,114.14285714285714,182.68589697161127,3,80
65,2015,20150425,17,2015_17,114.14285714285714,799.000799000799,7,73
66,2015,20150426,18,2015_18,114.14285714285714,542.1433992862565,5,103
67,2015,20150427,18,2015_18,114.14285714285714,627.7149134291991,6,97
68,2015,20150428,18,2015_18,114.14285714285714,342.4289138574853,3,94
69,2015,20150429,18,2015_18,114.14285714285714,399.5003995003995,4,90
70,2015,20150430,18,2015_18,114.14285714285714,274.00027400027403,3,87
71,2015,20150501,18,2015_18,114.14285714285714,662.0292334578048,6,81
72,2015,20150502,18,2015_18,114.14285714285714,542.1433992862565,5,76
73,2015,20150503,19,2015_19,114.14285714285714,285.28599957171383,3,70
74,2015,20150504,19,2015_19,114.14285714285714,228.28594257165685,2,68
75,2015,20150505,19,2015_19,114.14285714285714,353.8574967146396,4,64
76,2015,20150507,19,2015_19,114.14285714285714,114.14297128582842,1,63
77,2015,20150508,19,2015_19,114.14285714285714,114.14297128582842,1,62
78,2015,20150509,19,2015_19,114.14285714285714,199.71448542877116,2,60
79,2015,20150510,20,2015_20,114.14285714285714,114.14297128582842,1,56
81,2015,20150513,20,2015_20,114.14285714285714,40.00004000004,1,55
82,2015,20150516,20,2015_20,114.14285714285714,114.14297128582842,1,54
83,2015,20150517,21,2015_21,114.14285714285714,85.57151414294272,1,44
84,2015,20150519,21,2015_21,114.14285714285714,91.31437702866275,1,43
85,2015,20150520,21,2015_21,114.14285714285714,114.14297128582842,1,42
86,2015,20150521,21,2015_21,114.14285714285714,114.14297128582842,1,41
87,2015,20150522,21,2015_21,114.14285714285714,68.4286398572113,1,40
88,2015,20150523,21,2015_21,114.14285714285714,456.5718851433137,4,36
89,2015,20150524,22,2015_22,114.14285714285714,228.28594257165685,2,95
90,2015,20150525,22,2015_22,114.14285714285714,296.71458242886814,3,92
91,2015,20150526,22,2015_22,114.14285714285714,85.57151414294272,1,91
92,2015,20150527,22,2015_22,114.14285714285714,-68.4286398572113,-1,92
93,2015,20150528,22,2015_22,114.14285714285714,342.4289138574853,3,89
94,2015,20150529,22,2015_22,114.14285714285714,114.14297128582842,1,88
